DHID,De_m,A_m,RockCode1,Lith1,RockCode2_sw,Lith2_sw
MURALLA-01,0,7,relleno,Relleno-Planilla,Qac,Alluvium-colluvium
MURALLA-01,7,196.75,PGH,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-01,196.75,203,PG,plag-felds porphyry mx-qtz; alteration,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-01,203,207.4,PGH,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-01,207.4,212.64,PG,plag-felds porphyry mx-qtz; alteration,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-01,212.64,231.5,PGH,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-01,231.5,257.3,PG,plag-felds porphyry mx-qtz; alteration,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-01,257.3,272.9,PGH,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-01,272.9,275.8,PG,plag-felds porphyry mx-qtz; alteration,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-01,275.8,284.8,PGH,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-01,284.8,285.7,PG,plag-felds porphyry mx-qtz; alteration,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-01,285.7,289.3,PGH,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-01,289.3,290.35,PG,plag-felds porphyry mx-qtz; alteration,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-01,290.35,293.45,PGH,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-01,293.45,299.5,PG,plag-felds porphyry mx-qtz; alteration,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-01,299.5,303.2,PGH,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-01,303.2,307.3,PG,plag-felds porphyry mx-qtz; alteration,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-01,307.3,371.5,PGH,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-01,371.5,374.8,PG,plag-felds porphyry mx-qtz; alteration,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-01,374.8,383.5,PGH,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-01,383.5,391.4,PG,plag-felds porphyry mx-qtz; alteration,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-01,391.4,405.2,PGH,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-01,405.2,416.66,PG,plag-felds porphyry mx-qtz; alteration,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-01,416.66,457.81,PGH,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-02,0,4,PGH,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-02,4,6,PGH,hornbl-qtz-plag-felds-biot porphyry,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap
MURALLA-02,6,8.3,En,endoskarn-flooding de pirox-magnet-,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap
MURALLA-02,8.3,20,Ho,horfels-Fm Indidura?,skarnoid,fng calcsilicate rock w/micro- to macroscopic pyrox+/-garnet +/-scap
MURALLA-02,20,21.2,Ho,horfels-Fm Indidura?,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-02,21.2,26.25,PG,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-02,26.25,29.1,En,endoskarn-flooding de pirox-magnet-,Tdp,hornbl diorite to qtz-diorite porphyry
MURALLA-02,29.1,29.9,PG,hornbl-qtz-plag-felds-biot porphyry,Tdp,hornbl diorite to qtz-diorite porphyry
