DHID,De_m,A_m,Oxidation
MURALLA-01,0,32,mix
MURALLA-01,32,34,sulf
MURALLA-01,34,38,mix
MURALLA-01,38,58,sulf
MURALLA-01,58,60,mix
MURALLA-01,60,66,sulf
MURALLA-01,66,68,mix
MURALLA-01,68,457.81,sulf
MURALLA-02,0,8,ox
MURALLA-02,8,16,mix
MURALLA-02,16,18,sulf
MURALLA-02,18,20,mix
MURALLA-02,20,22,sulf
MURALLA-02,22,26,mix
MURALLA-02,26,28,sulf
MURALLA-02,28,30,mix
MURALLA-02,30,32,sulf
MURALLA-02,32,34,mix
MURALLA-02,34,40,sulf
MURALLA-02,40,42,mix
MURALLA-02,42,46,sulf
MURALLA-02,46,48,mix
MURALLA-02,48,50,sulf
MURALLA-02,50,52,mix
MURALLA-02,52,62,sulf
MURALLA-02,62,68,mix
MURALLA-02,68,70,sulf
MURALLA-02,70,76,mix
MURALLA-02,76,80,sulf
MURALLA-02,80,82,mix
MURALLA-02,82,84,sulf
MURALLA-02,84,86,mix
MURALLA-02,86,88,sulf
MURALLA-02,88,96,mix
MURALLA-02,96,98,sulf
MURALLA-02,98,100,mix
MURALLA-02,100,102,sulf
MURALLA-02,102,122,mix
MURALLA-02,122,124,sulf
MURALLA-02,124,126,mix
MURALLA-02,126,132,sulf
MURALLA-02,132,134,mix
MURALLA-02,134,136,sulf
MURALLA-02,136,138,mix
MURALLA-02,138,140,sulf
MURALLA-02,140,200,mix
MURALLA-02,200,330,sulf
MURALLA-02,330,332,mix
MURALLA-02,332,364.27,sulf
MURALLA-03,0,14,mix
MURALLA-03,14,392,sulf
MURALLA-03,392,396,mix
MURALLA-03,396,526.39,sulf
MURALLA-04,0,18,mix
MURALLA-04,18,30,sulf
MURALLA-04,30,34,mix
MURALLA-04,34,40,sulf
MURALLA-04,40,42,mix
MURALLA-04,42,46,sulf
MURALLA-04,46,48,mix
MURALLA-04,48,62,sulf
MURALLA-04,62,70,mix
MURALLA-04,70,72,noox
MURALLA-04,72,76,mix
MURALLA-04,76,114,sulf
MURALLA-04,114,116,mix
MURALLA-04,116,118,sulf
MURALLA-04,118,126,mix
MURALLA-04,126,128,sulf
MURALLA-04,128,130,mix
MURALLA-04,130,132,sulf
MURALLA-04,132,142,mix
MURALLA-04,142,148,sulf
MURALLA-04,148,150,mix
MURALLA-04,150,168,sulf
MURALLA-04,168,176,mix
MURALLA-04,176,178,sulf
MURALLA-04,178,192,mix
MURALLA-04,192,210,sulf
MURALLA-04,210,214,mix
MURALLA-04,214,216,sulf
MURALLA-04,216,226,mix
MURALLA-04,226,280,sulf
MURALLA-04,280,284,mix
MURALLA-04,284,292,sulf
MURALLA-04,292,300,mix
MURALLA-04,300,306,sulf
MURALLA-04,306,308,mix
MURALLA-04,308,318,sulf
MURALLA-04,318,320,mix
MURALLA-04,320,466,sulf
MURALLA-04,466,468,mix
MURALLA-04,468,502,sulf
MURALLA-04,502,508,mix
MURALLA-04,508,514,sulf
MURALLA-04,514,516,mix
MURALLA-04,516,519.68,sulf
MURALLA-08,0,20,mix
MURALLA-08,20,26,sulf
MURALLA-08,26,28,mix
MURALLA-08,28,44,sulf
MURALLA-08,44,50,mix
MURALLA-08,50,56,sulf
MURALLA-08,56,58,mix
MURALLA-08,58,60,sulf
MURALLA-08,60,118,mix
MURALLA-08,118,202,sulf
MURALLA-08,202,234,noox
MURALLA-08,234,264,sulf
MURALLA-08,264,284,mix
MURALLA-08,284,352,sulf
MURALLA-08,352,404,mix
MURALLA-08,404,410,sulf
MURALLA-08,410,420,mix
MURALLA-08,420,434,sulf
MURALLA-08,434,462,mix
MURALLA-08,462,473.63,sulf
