DHID,Depth,Azimuth,Inclination
MURALLA-01,0,0,-90
MURALLA-01,100,93.7,-89.7
MURALLA-01,200,47.7,-89.7
MURALLA-01,300,8.6,-89.7
MURALLA-01,400,247.5,-89.6
MURALLA-02,0,0,-90
MURALLA-02,100,296,-88.2
MURALLA-02,200,290.3,-88.1
MURALLA-02,300,282.1,-88.3
MURALLA-02,350,289,-88.3
MURALLA-03,0,0,-90
MURALLA-03,100,264.7,-88.3
MURALLA-03,200,266.2,-88.4
MURALLA-03,300,282.5,-89.1
MURALLA-03,400,293.6,-88.9
MURALLA-03,450,310.5,-88.5
MURALLA-03,500,332.9,-88
MURALLA-03,525,330.9,-87.4
MURALLA-04,0,0,-90
MURALLA-04,100,264,-89.6
MURALLA-04,200,259.9,-89.6
MURALLA-04,300,256,-89.6
MURALLA-04,400,245.3,-89.6
MURALLA-04,450,238.8,-89.6
MURALLA-04,500,219.6,-89.6
MURALLA-08,0,0,-90
MURALLA-08,95,155.5,-89.1
MURALLA-08,170,134.1,-89.2
MURALLA-08,270,199.6,-89.6
MURALLA-08,370,153,-89.1
MURALLA-08,470,177.9,-89.7
