2026-01-01 13:30:24,751 - performance - INFO - Performance: {'operation': 'sec_interp.core.services.geology_service.generate_geological_profile', 'duration_seconds': 0.0166, 'memory_mb': 0.0, 'memory_peak_mb': 0.16, 'timestamp': '2026-01-01 13:30:24', 'args_count': 5, 'kwargs_keys': []}
2026-01-01 13:30:44,147 - performance - INFO - Performance: {'operation': 'sec_interp.core.services.geology_service.generate_geological_profile', 'duration_seconds': 0.014, 'memory_mb': 0.12, 'memory_peak_mb': 0.18, 'timestamp': '2026-01-01 13:30:44', 'args_count': 5, 'kwargs_keys': []}
2026-01-01 13:31:19,795 - performance - INFO - Performance: {'operation': 'sec_interp.core.services.geology_service.generate_geological_profile', 'duration_seconds': 0.0195, 'memory_mb': 0.38, 'memory_peak_mb': 0.33, 'timestamp': '2026-01-01 13:31:19', 'args_count': 5, 'kwargs_keys': []}
2026-01-01 13:33:10,101 - performance - INFO - Performance: {'operation': 'sec_interp.core.services.geology_service.generate_geological_profile', 'duration_seconds': 0.0163, 'memory_mb': 0.0, 'memory_peak_mb': 0.22, 'timestamp': '2026-01-01 13:33:10', 'args_count': 5, 'kwargs_keys': []}
2026-01-01 13:34:28,472 - performance - INFO - Performance: {'operation': 'sec_interp.core.services.geology_service.generate_geological_profile', 'duration_seconds': 0.0164, 'memory_mb': 0.0, 'memory_peak_mb': 0.22, 'timestamp': '2026-01-01 13:34:28', 'args_count': 5, 'kwargs_keys': []}
2026-01-01 13:35:06,235 - performance - INFO - Performance: {'operation': 'sec_interp.core.services.geology_service.generate_geological_profile', 'duration_seconds': 0.0165, 'memory_mb': 0.12, 'memory_peak_mb': 0.22, 'timestamp': '2026-01-01 13:35:06', 'args_count': 5, 'kwargs_keys': []}
2026-01-01 13:41:33,555 - performance - INFO - Performance: {'operation': 'sec_interp.core.services.geology_service.generate_geological_profile', 'duration_seconds': 0.0177, 'memory_mb': 0.25, 'memory_peak_mb': 0.25, 'timestamp': '2026-01-01 13:41:33', 'args_count': 5, 'kwargs_keys': []}
2026-01-01 13:42:46,769 - performance - INFO - Performance: {'operation': 'sec_interp.core.services.geology_service.generate_geological_profile', 'duration_seconds': 0.021, 'memory_mb': 0.25, 'memory_peak_mb': 0.22, 'timestamp': '2026-01-01 13:42:46', 'args_count': 5, 'kwargs_keys': []}
2026-01-01 13:43:10,469 - performance - INFO - Performance: {'operation': 'sec_interp.core.services.geology_service.generate_geological_profile', 'duration_seconds': 0.0218, 'memory_mb': 0.0, 'memory_peak_mb': 0.22, 'timestamp': '2026-01-01 13:43:10', 'args_count': 5, 'kwargs_keys': []}
2026-01-01 14:14:08,163 - performance - INFO - Performance: {'operation': 'sec_interp.core.services.geology_service.generate_geological_profile', 'duration_seconds': 0.0174, 'memory_mb': 0.12, 'memory_peak_mb': 0.22, 'timestamp': '2026-01-01 14:14:08', 'args_count': 5, 'kwargs_keys': []}
2026-01-01 14:26:58,642 - performance - INFO - Performance: {'operation': 'sec_interp.core.services.geology_service.generate_geological_profile', 'duration_seconds': 0.017, 'memory_mb': 0.12, 'memory_peak_mb': 0.22, 'timestamp': '2026-01-01 14:26:58', 'args_count': 5, 'kwargs_keys': []}
